frame,componente,problema,codigo_problema,area_px,largura_px,altura_px,x_px,y_px,proporcao_largura_altura,preenchimento,circularidade,tocou_crop_vertical,tocou_borda_lateral,threshold_usado,percentil_escuro_q,min_altura_config_px,min_largura_config_px,min_area_config_px
0,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,275.0,25.0,18.0,283.0,462.0,1.3888888888888888,0.6111111111111112,0.6551509305650617,True,False,75.0,26.0,70.0,80.0,6000.0
0,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,314.5,46.0,14.0,118.0,380.0,3.2857142857142856,0.48835403726708076,0.3847133502488816,False,False,75.0,26.0,70.0,80.0,6000.0
0,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,22.0,10.0,4.0,54.0,313.0,2.5,0.55,0.6587925570046588,False,False,75.0,26.0,70.0,80.0,6000.0
0,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,35.0,100.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,26.0,70.0,80.0,6000.0
0,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,49.5,12.0,9.0,271.0,66.0,1.3333333333333333,0.4583333333333333,0.6737565316309456,False,False,75.0,26.0,70.0,80.0,6000.0
0,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,1010.5,82.0,19.0,126.0,42.0,4.315789473684211,0.6485879332477535,0.3785400276359109,False,False,75.0,26.0,70.0,80.0,6000.0
0,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,283.0,27.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,26.0,70.0,80.0,6000.0
0,8,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,4.0,5.0,88.0,8.0,0.8,0.3,0.6858054748288855,False,False,75.0,26.0,70.0,80.0,6000.0
0,9,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,1001.0,65.0,40.0,243.0,0.0,1.625,0.385,0.35558518129502714,True,False,75.0,26.0,70.0,80.0,6000.0
1,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,275.0,25.0,18.0,283.0,462.0,1.3888888888888888,0.6111111111111112,0.6551509305650617,True,False,75.0,26.0,70.0,80.0,6000.0
1,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,314.5,46.0,14.0,118.0,380.0,3.2857142857142856,0.48835403726708076,0.3847133502488816,False,False,75.0,26.0,70.0,80.0,6000.0
1,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,22.0,10.0,4.0,54.0,313.0,2.5,0.55,0.6587925570046588,False,False,75.0,26.0,70.0,80.0,6000.0
1,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,35.0,100.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,26.0,70.0,80.0,6000.0
1,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,49.5,12.0,9.0,271.0,66.0,1.3333333333333333,0.4583333333333333,0.6737565316309456,False,False,75.0,26.0,70.0,80.0,6000.0
1,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,1010.5,82.0,19.0,126.0,42.0,4.315789473684211,0.6485879332477535,0.3785400276359109,False,False,75.0,26.0,70.0,80.0,6000.0
1,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,4.0,4.0,3.0,283.0,27.0,1.3333333333333333,0.3333333333333333,0.8573716241035623,False,False,75.0,26.0,70.0,80.0,6000.0
1,8,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,6.0,4.0,5.0,88.0,8.0,0.8,0.3,0.6858054748288855,False,False,75.0,26.0,70.0,80.0,6000.0
1,9,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,1001.0,65.0,40.0,243.0,0.0,1.625,0.385,0.35558518129502714,True,False,75.0,26.0,70.0,80.0,6000.0
2,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,275.0,25.0,18.0,283.0,462.0,1.3888888888888888,0.6111111111111112,0.6551509305650617,True,False,75.0,26.0,70.0,80.0,6000.0
