frame,componente,problema,codigo_problema,area_px,largura_px,altura_px,x_px,y_px,proporcao_largura_altura,preenchimento,circularidade,tocou_crop_vertical,tocou_borda_lateral,threshold_usado,percentil_escuro_q,min_altura_config_px,min_largura_config_px,min_area_config_px
0,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,95.0,13.0,12.0,146.0,468.0,1.0833333333333333,0.6089743589743589,0.7408538237547589,True,False,75.0,37.0,70.0,80.0,6000.0
0,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,93.0,8.0,16.0,0.0,192.0,0.5,0.7265625,0.7130147132377335,False,True,75.0,37.0,70.0,80.0,6000.0
0,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,267.0,9.0,57.0,0.0,119.0,0.15789473684210525,0.52046783625731,0.22927765245723736,False,True,75.0,37.0,70.0,80.0,6000.0
0,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,9.5,6.0,4.0,299.0,64.0,1.5,0.3958333333333333,0.698733140133956,False,False,75.0,37.0,70.0,80.0,6000.0
0,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,564.5,66.0,17.0,173.0,40.0,3.8823529411764706,0.5031194295900179,0.2812623838059771,False,False,75.0,37.0,70.0,80.0,6000.0
0,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,13.5,4.0,7.0,287.0,23.0,0.5714285714285714,0.48214285714285715,0.7468881888038891,False,False,75.0,37.0,70.0,80.0,6000.0
0,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,273.0,28.0,17.0,280.0,0.0,1.6470588235294117,0.5735294117647058,0.5718263114732065,True,False,75.0,37.0,70.0,80.0,6000.0
1,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,95.0,13.0,12.0,146.0,468.0,1.0833333333333333,0.6089743589743589,0.7408538237547589,True,False,75.0,37.0,70.0,80.0,6000.0
1,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,93.0,8.0,16.0,0.0,192.0,0.5,0.7265625,0.7130147132377335,False,True,75.0,37.0,70.0,80.0,6000.0
1,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,270.5,9.0,60.0,0.0,116.0,0.15,0.5009259259259259,0.21280783203289919,False,True,75.0,37.0,70.0,80.0,6000.0
1,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,10.5,6.0,4.0,299.0,64.0,1.5,0.4375,0.772283996990162,False,False,75.0,37.0,70.0,80.0,6000.0
1,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,558.5,66.0,17.0,173.0,40.0,3.8823529411764706,0.4977718360071301,0.2753922600191759,False,False,75.0,37.0,70.0,80.0,6000.0
1,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,13.5,4.0,7.0,287.0,23.0,0.5714285714285714,0.48214285714285715,0.7468881888038891,False,False,75.0,37.0,70.0,80.0,6000.0
1,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,273.0,28.0,17.0,280.0,0.0,1.6470588235294117,0.5735294117647058,0.5718263114732065,True,False,75.0,37.0,70.0,80.0,6000.0
2,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,95.0,13.0,12.0,146.0,468.0,1.0833333333333333,0.6089743589743589,0.7408538237547589,True,False,75.0,37.0,70.0,80.0,6000.0
2,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,93.0,8.0,16.0,0.0,192.0,0.5,0.7265625,0.7130147132377335,False,True,75.0,37.0,70.0,80.0,6000.0
2,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,271.5,9.0,60.0,0.0,116.0,0.15,0.5027777777777778,0.21359455270213,False,True,75.0,37.0,70.0,80.0,6000.0
2,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,10.5,6.0,4.0,299.0,64.0,1.5,0.4375,0.772283996990162,False,False,75.0,37.0,70.0,80.0,6000.0
2,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,614.0,66.0,17.0,173.0,40.0,3.8823529411764706,0.5472370766488414,0.33662307093669025,False,False,75.0,37.0,70.0,80.0,6000.0
2,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,13.5,4.0,7.0,287.0,23.0,0.5714285714285714,0.48214285714285715,0.7468881888038891,False,False,75.0,37.0,70.0,80.0,6000.0
2,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,275.0,28.0,17.0,280.0,0.0,1.6470588235294117,0.5777310924369747,0.576015515220263,True,False,75.0,37.0,70.0,80.0,6000.0
3,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,95.0,13.0,12.0,146.0,468.0,1.0833333333333333,0.6089743589743589,0.7408538237547589,True,False,75.0,37.0,70.0,80.0,6000.0
3,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,93.0,8.0,16.0,0.0,192.0,0.5,0.7265625,0.7130147132377335,False,True,75.0,37.0,70.0,80.0,6000.0
3,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,270.5,9.0,60.0,0.0,116.0,0.15,0.5009259259259259,0.21280783203289919,False,True,75.0,37.0,70.0,80.0,6000.0
3,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,10.5,6.0,4.0,299.0,64.0,1.5,0.4375,0.772283996990162,False,False,75.0,37.0,70.0,80.0,6000.0
3,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,615.5,66.0,17.0,173.0,40.0,3.8823529411764706,0.5485739750445633,0.3348492240119365,False,False,75.0,37.0,70.0,80.0,6000.0
3,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,13.5,4.0,7.0,287.0,23.0,0.5714285714285714,0.48214285714285715,0.7468881888038891,False,False,75.0,37.0,70.0,80.0,6000.0
3,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,275.0,28.0,17.0,280.0,0.0,1.6470588235294117,0.5777310924369747,0.576015515220263,True,False,75.0,37.0,70.0,80.0,6000.0
4,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,95.0,13.0,12.0,146.0,468.0,1.0833333333333333,0.6089743589743589,0.7408538237547589,True,False,75.0,37.0,70.0,80.0,6000.0
4,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,93.0,8.0,16.0,0.0,192.0,0.5,0.7265625,0.7130147132377335,False,True,75.0,37.0,70.0,80.0,6000.0
4,3,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,271.5,9.0,60.0,0.0,116.0,0.15,0.5027777777777778,0.21359455270213,False,True,75.0,37.0,70.0,80.0,6000.0
4,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,9.5,6.0,4.0,299.0,64.0,1.5,0.3958333333333333,0.698733140133956,False,False,75.0,37.0,70.0,80.0,6000.0
4,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,614.5,66.0,17.0,173.0,40.0,3.8823529411764706,0.5476827094474154,0.33430519602816405,False,False,75.0,37.0,70.0,80.0,6000.0
4,6,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,13.5,4.0,7.0,287.0,23.0,0.5714285714285714,0.48214285714285715,0.7468881888038891,False,False,75.0,37.0,70.0,80.0,6000.0
4,7,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,275.0,28.0,17.0,280.0,0.0,1.6470588235294117,0.5777310924369747,0.576015515220263,True,False,75.0,37.0,70.0,80.0,6000.0
