frame,componente,problema,codigo_problema,area_px,largura_px,altura_px,x_px,y_px,proporcao_largura_altura,preenchimento,circularidade,tocou_crop_vertical,tocou_borda_lateral,threshold_usado,percentil_escuro_q,min_altura_config_px,min_largura_config_px,min_area_config_px
0,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,254.5,52.0,14.0,181.0,27.0,3.7142857142857144,0.34958791208791207,0.2257952168698824,False,False,75.0,70.0,70.0,80.0,6000.0
1,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,250.0,51.0,14.0,181.0,27.0,3.642857142857143,0.35014005602240894,0.22400245170015087,False,False,75.0,70.0,70.0,80.0,6000.0
2,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,249.0,51.0,13.0,181.0,27.0,3.923076923076923,0.3755656108597285,0.2262608912027107,False,False,75.0,70.0,70.0,80.0,6000.0
3,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,249.0,51.0,13.0,181.0,27.0,3.923076923076923,0.3755656108597285,0.2262608912027107,False,False,75.0,70.0,70.0,80.0,6000.0
4,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,249.0,51.0,13.0,181.0,27.0,3.923076923076923,0.3755656108597285,0.2262608912027107,False,False,75.0,70.0,70.0,80.0,6000.0
5,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,249.0,52.0,13.0,181.0,27.0,4.0,0.3683431952662722,0.22626089166143284,False,False,75.0,70.0,70.0,80.0,6000.0
6,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,258.0,54.0,13.0,178.0,27.0,4.153846153846154,0.36752136752136755,0.2151038715355524,False,False,75.0,70.0,70.0,80.0,6000.0
7,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,261.0,55.0,13.0,177.0,27.0,4.230769230769231,0.365034965034965,0.2106847684270909,False,False,75.0,70.0,70.0,80.0,6000.0
8,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,261.0,55.0,13.0,177.0,27.0,4.230769230769231,0.365034965034965,0.2106847684270909,False,False,75.0,70.0,70.0,80.0,6000.0
9,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,264.5,56.0,13.0,177.0,27.0,4.3076923076923075,0.3633241758241758,0.20875100400061178,False,False,75.0,70.0,70.0,80.0,6000.0
