frame,componente,problema,codigo_problema,area_px,largura_px,altura_px,x_px,y_px,proporcao_largura_altura,preenchimento,circularidade,tocou_crop_vertical,tocou_borda_lateral,threshold_usado,percentil_escuro_q,min_altura_config_px,min_largura_config_px,min_area_config_px,topo_ruler_mm_estimado,topo_minimo_config_mm
0,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,111.5,32.0,13.0,382.0,313.0,2.4615384615384617,0.26802884615384615,0.26637064683456085,False,False,75.0,73.0,70.0,80.0,6000.0,,
0,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,11.5,7.0,4.0,400.0,209.0,1.75,0.4107142857142857,0.6362380867588684,False,False,75.0,73.0,70.0,80.0,6000.0,,
0,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,662.0,30.0,31.0,0.0,204.0,0.967741935483871,0.7118279569892473,0.7700040829419768,False,True,75.0,73.0,70.0,80.0,6000.0,,
0,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2.0,3.0,3.0,414.0,96.0,1.0,0.2222222222222222,0.7853981902804831,False,False,75.0,73.0,70.0,80.0,6000.0,,
0,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,18.5,9.0,6.0,396.0,89.0,1.5,0.3425925925925926,0.5410907037292711,False,False,75.0,73.0,70.0,80.0,6000.0,,
0,6,Objeto escuro rejeitado porque a área é pequena demais para ser a bolinha.,too_small_area,3436.0,92.0,108.0,249.0,57.0,0.8518518518518519,0.34581320450885666,0.3061629889520751,False,False,75.0,73.0,70.0,80.0,6000.0,,
1,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,111.5,32.0,13.0,382.0,313.0,2.4615384615384617,0.26802884615384615,0.26637064683456085,False,False,75.0,73.0,70.0,80.0,6000.0,,
1,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,11.5,7.0,4.0,400.0,209.0,1.75,0.4107142857142857,0.6362380867588684,False,False,75.0,73.0,70.0,80.0,6000.0,,
1,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,661.0,30.0,31.0,0.0,204.0,0.967741935483871,0.710752688172043,0.768840934780433,False,True,75.0,73.0,70.0,80.0,6000.0,,
1,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2.0,3.0,3.0,414.0,96.0,1.0,0.2222222222222222,0.7853981902804831,False,False,75.0,73.0,70.0,80.0,6000.0,,
1,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,18.5,9.0,6.0,396.0,89.0,1.5,0.3425925925925926,0.5410907037292711,False,False,75.0,73.0,70.0,80.0,6000.0,,
1,6,Objeto escuro rejeitado porque a área é pequena demais para ser a bolinha.,too_small_area,3430.0,92.0,108.0,249.0,57.0,0.8518518518518519,0.34520933977455714,0.30562836207963257,False,False,75.0,73.0,70.0,80.0,6000.0,,
2,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,111.5,32.0,13.0,382.0,313.0,2.4615384615384617,0.26802884615384615,0.26637064683456085,False,False,75.0,73.0,70.0,80.0,6000.0,,
2,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,11.5,7.0,4.0,400.0,209.0,1.75,0.4107142857142857,0.6362380867588684,False,False,75.0,73.0,70.0,80.0,6000.0,,
2,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,661.0,30.0,31.0,0.0,204.0,0.967741935483871,0.710752688172043,0.768840934780433,False,True,75.0,73.0,70.0,80.0,6000.0,,
2,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2.0,3.0,3.0,414.0,96.0,1.0,0.2222222222222222,0.7853981902804831,False,False,75.0,73.0,70.0,80.0,6000.0,,
2,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,18.5,9.0,6.0,396.0,89.0,1.5,0.3425925925925926,0.5410907037292711,False,False,75.0,73.0,70.0,80.0,6000.0,,
2,6,Objeto escuro rejeitado porque a área é pequena demais para ser a bolinha.,too_small_area,3430.0,92.0,108.0,249.0,57.0,0.8518518518518519,0.34520933977455714,0.30562836207963257,False,False,75.0,73.0,70.0,80.0,6000.0,,
3,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,111.5,32.0,13.0,382.0,313.0,2.4615384615384617,0.26802884615384615,0.26637064683456085,False,False,75.0,73.0,70.0,80.0,6000.0,,
3,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,11.5,7.0,4.0,400.0,209.0,1.75,0.4107142857142857,0.6362380867588684,False,False,75.0,73.0,70.0,80.0,6000.0,,
3,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,661.0,30.0,31.0,0.0,204.0,0.967741935483871,0.710752688172043,0.768840934780433,False,True,75.0,73.0,70.0,80.0,6000.0,,
3,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2.0,3.0,3.0,414.0,96.0,1.0,0.2222222222222222,0.7853981902804831,False,False,75.0,73.0,70.0,80.0,6000.0,,
3,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,18.5,9.0,6.0,396.0,89.0,1.5,0.3425925925925926,0.5410907037292711,False,False,75.0,73.0,70.0,80.0,6000.0,,
3,6,Objeto escuro rejeitado porque a área é pequena demais para ser a bolinha.,too_small_area,3430.0,92.0,108.0,249.0,57.0,0.8518518518518519,0.34520933977455714,0.30562836207963257,False,False,75.0,73.0,70.0,80.0,6000.0,,
4,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,111.5,32.0,13.0,382.0,313.0,2.4615384615384617,0.26802884615384615,0.26637064683456085,False,False,75.0,73.0,70.0,80.0,6000.0,,
4,1,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,11.5,7.0,4.0,400.0,209.0,1.75,0.4107142857142857,0.6362380867588684,False,False,75.0,73.0,70.0,80.0,6000.0,,
4,2,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,661.0,30.0,31.0,0.0,204.0,0.967741935483871,0.710752688172043,0.768840934780433,False,True,75.0,73.0,70.0,80.0,6000.0,,
4,4,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,2.0,3.0,3.0,414.0,96.0,1.0,0.2222222222222222,0.7853981902804831,False,False,75.0,73.0,70.0,80.0,6000.0,,
4,5,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,18.5,9.0,6.0,396.0,89.0,1.5,0.3425925925925926,0.5410907037292711,False,False,75.0,73.0,70.0,80.0,6000.0,,
4,6,Objeto escuro rejeitado porque a área é pequena demais para ser a bolinha.,too_small_area,3430.0,92.0,108.0,249.0,57.0,0.8518518518518519,0.34520933977455714,0.30562836207963257,False,False,75.0,73.0,70.0,80.0,6000.0,,
5,0,"Objeto escuro rejeitado porque é baixo demais para ser a bolinha. Provavelmente é a fenda, a sombra da base ou um pedaço de papel.",too_small_height,111.5,32.0,13.0,382.0,313.0,2.4615384615384617,0.26802884615384615,0.26637064683456085,False,False,75.0,73.0,70.0,80.0,6000.0,,
